N0: H502(260) H4681(176) H511(150) H6279(138) H3131(120) H2871(120)
N58: H8987(148) H6056(126) H1659(115) H9979(114) H4059(103) H8229(99)
N59: H5642(57) H5179(53) H5696(50) H5421(45) H11102(40) H6668(37)
N60: H10728(159) H6759(100) H1414(98) H6862(88) H5508(80) H4803(76)
N61: H10312(117) H53(97) H5243(91) H9803(71) H10619(35) H11690(34)
N62: H8360(126) H2772(118) H122(110) H3042(98) H5563(90) H9154(56)
N63: H2576(117) H2087(108) H8754(107) H7656(65) H1930(47) H6503(46)
N64: H2132(118) H6149(88) H4804(78) H11940(78) H5609(71) H6028(56)
N65: H5288(134) H6019(114) H10776(114) H3143(108) H909(98) H5646(96)
N66: H1940(126) H9723(90) H802(72) H1913(50) H11393(50) H8185(48)
N67: H11366(134) H9929(77) H9685(51) H6704(35) H1104(25) H7911(25)
N68: H9716(118) H1174(108) H4821(79) H9824(74) H8226(68) H9629(48)
N69: H3387(168) H6142(144) H2267(124) H465(108) H7651(108) H334(102)
N70: H252(154) H4101(122) H3401(96) H7501(74) H7797(68) H8621(68)
N71: H1225(162) H5983(158) H6139(123) H8246(118) H11307(118) H1665(90)
N72: H6003(97) H5265(88) H8111(60) H7426(57) H1261(25) H11202(24)
N73: H6319(10) H3376(6) H11464(4) H8146(3) H8408(1) H2439(0)
N74: H9049(146) H3025(134) H8838(127) H5204(112) H2768(110) H3876(110)
N75: H5901(113) H4950(106) H8759(92) H5198(64) H7352(60) H9514(40)
N76: H10944(86) H6943(73) H9926(66) H8166(55) H7676(51) H6777(51)
N77: H9351(67) H3080(55) H6636(53) H10602(51) H8951(50) H4241(47)
N78: H1065(58) H4462(41) H11803(41) H2151(34) H2149(31) H1696(23)
N79: H209(114) H5422(93) H3586(90) H3422(78) H2259(78) H420(60)
N80: H3140(144) H274(101) H4057(93) H11921(92) H10668(83) H2474(81)
N81: H1328(6) H5968(5) H2881(3) H4063(2) H6469(1) H2337(1)
N82: H6098(140) H6703(88) H9247(58) H3803(50) H2038(46) H3294(42)
N83: H6317(54) H5419(48) H3113(44) H886(34) H7061(30) H8561(29)
N84: H4700(79) H2897(34) H9571(32) H516(29) H11334(26) H7672(22)
N85: H2156(43) H8164(41) H8464(38) H8353(34) H1167(33) H11320(33)
N86: H5638(110) H835(107) H9950(104) H11134(90) H5627(87) H778(86)
N87: H43(122) H4218(108) H9779(95) H7984(75) H4010(74) H2780(65)
N88: H6263(100) H7432(86) H3563(85) H4618(53) H8678(32) H9465(23)
N89: H7303(180) H11855(169) H4497(163) H9521(160) H1212(114) H1032(105)
N90: H6438(118) H9240(111) H5(110) H8826(96) H7089(95) H7862(89)
N91: H6059(115) H4592(92) H10368(58) H6923(52) H8344(42) H7732(42)
N92: H1829(172) H9783(160) H6963(152) H4135(148) H8497(134) H3599(132)
N93: H11325(116) H10477(80) H8165(66) H362(50) H8940(44) H1057(40)
N94: H9680(180) H9987(168) H1567(162) H9834(118) H682(112) H5699(80)
N95: H7790(93) H298(72) H4625(72) H8703(72) H5853(69) H5183(45)
N96: H7119(112) H9418(106) H6289(105) H7367(98) H152(95) H8089(90)
N97: H4294(113) H11201(101) H10018(94) H1579(87) H5976(82) H30(71)
N98: H2356(137) H11083(134) H2473(129) H9195(118) H2270(116) H2657(92)
N99: H7174(144) H1648(116) H732(115) H10066(114) H6932(106) H11424(73)
N100: H10119(150) H5306(117) H2533(113) H6504(107) H2214(99) H5731(90)
N101: H9663(202) H10718(173) H7297(154) H11138(122) H7292(106) H243(102)
N102: H9138(84) H5958(75) H6926(69) H10601(60) H3491(60) H6573(51)
N103: H9839(82) H8665(76) H10694(59) H559(48) H6141(48) H9572(37)
N104: H8132(216) H1974(135) H1551(126) H2749(93) H917(84) H4240(84)
N105: H9670(152) H7886(136) H9022(130) H11255(118) H11734(106) H7472(91)
N106: H3548(137) H5491(96) H7475(87) H3762(73) H3141(48) H4093(42)
N107: H7510(155) H4113(94) H642(87) H3972(60) H8195(48) H7525(45)
N108: H696(101) H7667(76) H9884(69) H2845(67) H1672(53) H6410(51)
N109: H1384(122) H1067(116) H3007(64) H8763(62) H8305(58) H7167(50)
N110: H11443(139) H9361(102) H2669(76) H256(60) H1483(54) H26(47)
N111: H5930(98) H8381(86) H9549(74) H11531(60) H10905(39) H5092(31)
N112: H2388(135) H2637(120) H4888(115) H5603(115) H4553(110) H3892(100)
N113: H11374(163) H7866(157) H6082(140) H3983(127) H4507(117) H4941(114)
N114: H8198(148) H1689(122) H1826(102) H2053(74) H3199(50) H9703(48)
N115: H4169(159) H10142(143) H4791(140) H3333(91) H747(77) H9733(45)
N116: H7176(45) H5989(35) H6411(33) H4664(24) H913(23) H9025(14)
N117: H11556(72) H2997(66) H6632(62) H788(51) H5023(49) H1655(45)
N118: H8605(107) H6313(93) H7103(65) H9471(65) H1973(27) H8245(27)
N119: H6434(85) H8221(66) H4321(65) H9447(50) H8223(29) H5864(17)
N120: H11203(215) H9506(165) H4576(145) H4250(140) H3823(125) H273(120)
N121: H6960(104) H2649(90) H7100(86) H7257(86) H10765(84) H1512(56)
N122: H8949(179) H3029(164) H11072(136) H9098(129) H7143(121) H1586(113)
N123: H6451(106) H3361(93) H10803(82) H10392(80) H8151(78) H7222(73)
N124: H7159(146) H4410(144) H11360(144) H6535(110) H6344(78) H10235(72)
N125: H5309(188) H715(168) H1801(137) H6216(134) H7036(116) H4049(97)
N126: H4219(180) H8174(152) H984(138) H2424(131) H3644(84) H826(60)
N127: H8792(48) H10131(27) H8876(24) H8225(20) H8122(20) H3043(20)
N128: H5128(178) H4124(129) H10200(118) H4051(99) H8072(98) H9219(66)
N129: H3650(46) H3904(45) H7469(42) H2638(35) H10745(27) H225(23)
N130: H1656(152) H8167(78) H2207(68) H3937(44) H5829(38) H4460(35)
N131: H6864(156) H6435(123) H7690(98) H5567(72) H7190(39) H11232(33)
N132: H4356(108) H5836(89) H6786(61) H5628(51) H5187(19) H8021(14)
N133: H7695(128) H4155(125) H2986(105) H2286(103) H5212(100) H11280(97)
N134: H10837(39) H4643(27) H9700(16) H521(14) H4742(10) H9664(6)
N135: H2403(64) H3858(62) H5359(56) H4050(50) H6934(50) H7994(32)
N136: H5721(108) H9226(50) H1642(28) H10848(28) H462(24) H10326(24)
N137: H3038(197) H7038(153) H2979(136) H3410(128) H10641(88) H8120(70)
N138: H8181(49) H2262(43) H1053(40) H6234(36) H4665(25) H6676(23)
N139: H1693(101) H911(98) H9204(93) H5439(84) H8283(71) H7660(69)
N140: H9604(106) H5332(100) H10334(83) H6875(81) H9747(70) H11415(61)
N141: H11006(84) H11542(84) H743(72) H8480(64) H143(56) H7042(44)
N142: H8399(140) H9552(138) H10361(112) H2022(61) H11553(45) H6190(37)
N143: H665(89) H5393(87) H11219(64) H9625(52) H6882(38) H78(30)
N144: H8608(48) H3320(47) H7027(41) H2774(33) H366(24) H5956(20)
N145: H1956(50) H5599(28) H4651(23) H11573(21) H10689(9) H5822(8)
N146: H647(96) H11808(93) H4922(92) H2844(80) H2247(67) H11537(48)
N147: H4545(109) H11327(99) H3149(92) H7182(90) H1353(74) H8296(68)
N148: H10020(53) H7955(48) H2888(39) H4737(33) H3088(32) H9768(32)
N149: H8429(75) H267(63) H10825(54) H8228(43) H2402(29) H4687(27)
N150: H3375(160) H11650(140) H7387(135) H10319(100) H10409(100) H2324(100)
N151: H5539(130) H6576(108) H9964(99) H2305(66) H9475(62) H9315(55)
N152: H8040(25) H9029(23) H1634(15) H9853(13) H10561(10) H10923(8)
N153: H6794(103) H1139(94) H8259(93) H4542(76) H6202(75) H8252(69)
N154: H1464(36) H1319(22) H148(18) H2959(18) H8098(18) H11288(18)
N155: H11434(138) H11408(102) H9617(51) H854(45) H11897(39) H6288(38)
N156: H8150(77) H2099(74) H981(60) H4009(52) H2929(41) H5200(40)
N157: H8437(144) H7926(128) H5308(120) H6419(99) H1766(91) H5162(88)
N158: H7733(156) H8965(156) H9988(120) H1905(112) H4662(108) H11129(104)
N159: H748(234) H6352(164) H6118(118) H2773(111) H7615(92) H3132(86)
N160: H3807(113) H5824(111) H8967(110) H3159(109) H7876(95) H2842(85)
N161: H3923(124) H249(117) H2052(107) H7593(69) H11782(65) H9182(59)
N162: H975(90) H9601(61) H11371(59) H1904(22) H11085(22) H9030(22)
N163: H9949(66) H4985(55) H4210(53) H3217(47) H251(44) H4029(37)
N164: H10497(83) H9064(72) H10893(61) H2309(60) H8994(59) H18(51)
N165: H10379(102) H4710(90) H11056(47) H7278(45) H347(22) H3707(22)
N166: H1808(148) H1176(137) H7594(55) H1336(51) H10040(45) H10378(35)
N167: H6666(144) H2018(135) H2446(97) H4646(71) H527(65) H7184(51)
N168: H2549(119) H7523(111) H10480(107) H6110(96) H2180(95) H10082(95)
N169: H10585(122) H7871(59) H10350(49) H4459(39) H1391(37) H1081(30)
N170: H2742(53) H723(44) H4351(32) H10093(31) H11290(27) H93(25)
N171: H2729(196) H4339(194) H3354(146) H1861(126) H8158(68) H5253(64)
N172: H4028(93) H11413(56) H1569(51) H542(42) H842(34) H11409(31)
N173: H7907(101) H8799(47) H10177(43) H9222(40) H10811(40) H5030(38)
N174: H8129(104) H8330(94) H6770(93) H1886(49) H2363(38) H6774(38)
N175: H1153(152) H7868(100) H1431(96) H4077(94) H6077(78) H11770(65)
N176: H178(90) H11780(86) H2786(79) H6001(77) H11731(46) H11882(44)
N177: H3311(96) H8718(77) H10860(61) H9616(46) H3457(40) H3534(33)
N178: H4156(205) H9959(185) H8356(180) H5310(120) H165(100) H1168(90)
N179: H7691(51) H2256(42) H4693(36) H8374(17) H9482(16) H10833(16)
N180: H9282(70) H2269(49) H6819(32) H2684(21) H7892(16) H814(15)
N181: H9847(54) H10572(50) H4382(36) H157(34) H3171(34) H2990(30)
N182: H7964(60) H8824(54) H1643(24) H7818(24) H8651(24) H6310(12)
N183: H7547(133) H11166(79) H2491(37) H2677(37) H5255(37) H7609(37)
N184: H4179(108) H5074(99) H3740(96) H11687(81) H52(75) H644(75)
N185: H4979(36) H5570(35) H5390(32) H11099(29) H10659(27) H5647(26)
N186: H1289(85) H4400(78) H8944(70) H2754(44) H6291(39) H11508(34)
N187: H7924(81) H6784(72) H3394(63) H3157(54) H2188(45) H11932(18)
N188: H5565(133) H3097(119) H11660(118) H5518(98) H8974(88) H412(83)
N189: H10453(113) H7074(79) H10232(63) H3384(62) H10294(62) H39(59)
N190: H4095(141) H554(109) H10079(108) H6395(87) H6928(84) H8124(79)
N191: H6239(134) H2060(98) H11727(84) H6287(70) H2475(52) H9099(24)
N192: H9410(31) H621(31) H6640(28) H8902(26) H10154(26) H10307(22)
N193: H7724(84) H5579(71) H3837(49) H104(48) H1902(37) H6507(28)
N194: H9000(144) H4622(115) H6602(110) H10203(109) H10092(103) H10941(96)
N195: H4368(93) H11520(73) H9735(72) H11251(68) H4173(63) H8359(60)
N196: H9679(86) H2495(74) H10822(69) H11809(67) H2294(64) H8764(45)
N197: H3560(116) H6879(116) H764(110) H1234(108) H3733(60) H8855(48)
N198: H2135(100) H8175(87) H6980(84) H8342(84) H10187(83) H11763(74)
N199: H1444(46) H6866(46) H7264(43) H8803(37) H8833(33) H10308(16)
N200: H7221(102) H2967(66) H1626(64) H9383(56) H11476(54) H724(51)
N201: H4432(136) H10339(136) H3339(130) H9753(128) H6343(66) H2145(52)
N202: H815(117) H2055(101) H5592(97) H5261(77) H8076(77) H1434(63)
N203: H714(56) H4262(56) H11450(49) H11105(49) H6146(42) H4530(35)
N204: H4987(141) H4186(139) H5718(133) H3413(130) H4810(122) H11648(118)
N205: H2395(114) H11993(104) H2181(88) H10954(24) H11453(24) H4492(20)
N206: H6680(107) H11139(66) H6644(60) H7829(58) H8701(51) H11163(32)
N207: H4938(113) H9148(85) H7760(82) H6994(80) H3169(76) H2797(64)
N208: H2034(117) H6350(96) H3826(66) H291(65) H10574(45) H2493(45)
N209: H3276(180) H3179(146) H11193(141) H11402(121) H10580(120) H11558(110)
N210: H8731(42) H7015(37) H7153(36) H10527(24) H4538(16) H11037(13)
N211: H8116(144) H750(116) H590(108) H4374(100) H5202(96) H11050(80)
N212: H3208(101) H10355(91) H3226(79) H6558(75) H3235(54) H2715(44)
N213: H1532(69) H4585(60) H5794(32) H4992(26) H6667(26) H5701(26)
N214: H3533(80) H4792(69) H1572(67) H6264(40) H8905(36) H280(32)
N215: H4261(160) H7879(156) H2047(116) H10609(104) H3523(98) H6827(92)
N216: H3691(54) H9408(47) H7279(46) H10015(45) H9842(43) H271(40)
N217: H6198(116) H5744(86) H4495(72) H5498(56) H9756(46) H4120(32)
N218: H10094(178) H5596(114) H4085(92) H2291(68) H3597(68) H10454(64)
N219: H8597(143) H7327(130) H10038(129) H11528(124) H7037(122) H5992(80)
N220: H632(93) H1012(76) H8551(64) H777(59) H6415(58) H3574(45)
N221: H6692(108) H7564(98) H2561(54) H2361(48) H2101(42) H718(40)
N222: H1172(138) H806(122) H6606(100) H9372(95) H6418(84) H2266(69)
N223: H10924(47) H9791(45) H10678(35) H1958(29) H10330(29) H10715(27)
N224: H881(60) H487(46) H11112(26) H1698(24) H9438(22) H3720(14)
N225: H5578(71) H8852(67) H7407(61) H6816(60) H218(51) H1409(27)
N226: H11017(35) H9027(33) H8788(19) H4449(12) H10225(11) H4134(6)
N227: H11485(179) H6681(172) H3508(124) H2771(105) H7779(72) H497(59)
N228: H3515(152) H9430(140) H5723(114) H2818(76) H5476(55) H1190(42)
N229: H10025(102) H15(77) H11154(70) H1919(65) H194(61) H4685(54)
N230: H2352(193) H3431(151) H2057(130) H1285(112) H3759(110) H5849(100)
N231: H8669(156) H8585(135) H5782(99) H8325(96) H3854(96) H11116(75)
N232: H5937(93) H2164(88) H8921(86) H2795(85) H11321(62) H4595(51)
N233: H3965(73) H4914(65) H2410(62) H9911(45) H6255(41) H7125(28)
N234: H1275(234) H2856(157) H6683(155) H4642(137) H9214(130) H872(109)
N235: H1232(65) H5693(61) H3343(54) H10195(54) H2116(38) H1089(18)
N236: H3398(106) H1783(97) H5168(91) H11114(90) H2538(86) H2987(72)
N237: H5321(84) H8499(81) H6005(54) H3761(48) H3262(30) H141(24)
N238: H8100(101) H1976(85) H9201(79) H9407(75) H8813(69) H10292(51)
N239: H6641(55) H2769(49) H927(48) H9399(42) H3618(40) H10743(38)
N240: H6439(131) H7389(106) H9124(83) H6303(74) H2702(65) H10261(64)
N241: H11605(91) H9398(80) H9831(78) H7161(45) H1061(42) H3992(33)
N242: H10633(126) H10118(90) H1556(85) H6635(78) H1184(76) H9314(62)
N243: H211(120) H214(78) H11753(67) H1446(63) H10863(58) H6387(51)
N244: H9563(178) H1140(136) H11339(132) H7824(112) H4722(89) H1279(86)
N245: H7828(100) H10639(85) H6108(47) H10064(38) H2643(36) H705(33)
N246: H8817(139) H6251(128) H9239(128) H8515(117) H11098(86) H7356(82)
N247: H7066(135) H5974(103) H10389(103) H6014(94) H8762(92) H3668(85)
N248: H7515(72) H3538(56) H5851(52) H2599(44) H6134(44) H9449(16)
N249: H11821(138) H5720(134) H989(126) H1003(120) H7728(96) H5275(94)
N250: H10196(172) H8716(163) H1544(83) H1765(80) H7972(78) H7163(61)
N251: H4913(135) H9470(99) H10461(97) H7146(69) H5482(43) H277(33)
N252: H4850(87) H4916(79) H9312(61) H1493(20) H7686(16) H2878(13)
N253: H6188(35) H131(27) H4112(23) H11658(14) H2368(12) H4931(10)
N254: H11162(96) H9991(82) H6081(9) H4505(9) H1147(9) H956(9)
N255: H105(151) H7378(117) H9302(109) H10100(97) H1950(89) H11549(88)
N256: H11545(146) H89(133) H7625(122) H11406(101) H885(96) H4583(76)
N257: H7180(146) H6138(100) H1357(98) H7241(92) H9706(60) H184(60)
N258: H5217(60) H7242(52) H1100(40) H2511(36) H6396(32) H5472(16)
N259: H302(116) H7503(115) H11974(70) H7545(64) H6616(61) H8751(60)
N260: H1137(21) H401(16) H10991(15) H3065(11) H4801(10) H2882(9)
N261: H11128(48) H10815(41) H8086(34) H5480(31) H11077(30) H2972(24)
N262: H4612(144) H10237(129) H7011(125) H5129(99) H6225(85) H1554(83)
N263: H3266(108) H6408(96) H3694(81) H1310(72) H2839(60) H2152(48)
N264: H10763(124) H11644(114) H790(108) H10043(106) H10853(92) H8019(88)
N265: H4222(32) H8963(18) H3746(10) H495(10) H9454(6) H7602(6)
N266: H8589(129) H1040(84) H3321(71) H10242(47) H449(42) H736(40)
N267: H6099(114) H3236(110) H11649(110) H2752(96) H11918(58) H700(58)
N268: H4441(113) H8859(94) H2999(76) H11742(52) H7977(49) H281(44)
N269: H4589(78) H181(60) H8085(58) H7747(56) H3767(53) H6521(41)
N270: H8208(112) H7160(50) H4575(50) H10751(37) H6337(34) H11569(30)
N271: H5631(132) H10149(128) H4437(126) H3371(125) H1455(124) H5477(103)
N272: H1725(86) H6964(71) H3616(64) H4856(49) H5177(47) H10(44)
N273: H406(85) H910(71) H8629(69) H11002(65) H3112(64) H1650(51)
N274: H9896(81) H9464(78) H5807(66) H4330(65) H8300(65) H11647(63)
N275: H10325(36) H4318(34) H2955(30) H5055(18) H11495(16) H5672(4)
N276: H7355(106) H7291(89) H2574(80) H9165(56) H7865(35) H4344(33)
N277: H8269(162) H8653(94) H2383(55) H4056(46) H10896(45) H8602(45)
N278: H1412(102) H2655(98) H10584(97) H11086(84) H6601(80) H11919(80)
N279: H5089(94) H11738(88) H8545(63) H8711(52) H4924(44) H7217(43)
N280: H10211(57) H4202(50) H10047(20) H10085(18) H1132(15) H9729(8)
N281: H4221(77) H5221(58) H107(48) H8492(37) H5327(27) H7251(27)
N282: H5127(94) H4726(84) H2311(78) H3750(68) H64(66) H4027(34)
N283: H4411(111) H5815(99) H8083(95) H8991(86) H3918(62) H4765(53)
N284: H2329(154) H4175(119) H55(87) H1964(85) H11247(82) H1901(68)
N285: H3434(117) H3957(112) H4773(107) H11879(106) H4320(103) H9450(97)
N286: H8123(77) H7855(74) H6516(61) H3068(48) H9350(42) H3289(42)
N287: H437(64) H7587(56) H1306(48) H7123(32) H5962(24) H4839(16)
N288: H6520(147) H10253(141) H6448(109) H6071(99) H9391(76) H7422(75)
N289: H456(76) H7030(76) H4956(64) H3758(56) H7997(32) H5333(30)
N290: H7210(107) H3447(94) H11314(79) H3513(74) H7942(66) H11666(35)
N291: H10039(118) H10466(107) H11846(69) H1764(65) H1669(65) H5820(59)
N292: H10224(149) H10266(99) H10426(88) H4611(77) H1865(57) H753(54)
N293: H7978(157) H2904(154) H7452(126) H1912(121) H2713(116) H4841(101)
N294: H6758(50) H708(49) H5464(40) H7768(40) H4244(39) H4183(37)
N295: H8148(108) H7803(74) H509(63) H478(63) H9291(57) H9852(52)
N296: H9861(96) H5043(92) H9276(83) H1562(70) H147(66) H6328(54)
N297: H3777(157) H4619(150) H1442(134) H8001(132) H801(117) H4490(112)
N298: H9829(193) H7298(189) H7843(178) H10412(115) H4602(80) H10998(79)
N299: H5029(153) H1548(107) H7340(95) H9170(93) H9067(82) H780(72)
N300: H977(97) H1269(85) H8307(56) H268(39) H8576(38) H5414(36)
N301: H1107(52) H810(52) H1229(50) H1299(44) H233(32) H11507(30)
N302: H5821(46) H9559(41) H9187(34) H6429(24) H6974(24) H4289(23)
N303: H3792(167) H11637(134) H6022(89) H2668(87) H9895(70) H8968(64)
N304: H10534(112) H4509(82) H4886(74) H8078(66) H1934(62) H8667(48)
N305: H10106(107) H7522(94) H5063(88) H6639(80) H7870(80) H10386(69)
N306: H11107(88) H11874(57) H11541(51) H4415(45) H3562(45) H4082(45)
N307: H3626(74) H7273(65) H551(58) H6184(56) H1755(34) H9437(11)
N308: H10182(138) H4947(125) H1988(89) H3275(54) H5116(50) H9649(47)
N309: H4743(148) H10943(124) H992(92) H11483(88) H9554(56) H5053(48)
N310: H5607(162) H8235(154) H10423(150) H2344(128) H10353(120) H11184(91)
N311: H6073(45) H3479(45) H6888(44) H1632(36) H643(31) H6810(17)
N312: H2961(144) H10989(128) H1983(100) H11441(94) H7289(90) H8740(54)
N313: H7053(151) H9973(135) H3040(129) H11758(125) H5548(118) H5630(112)
N314: H5501(132) H9507(108) H5166(70) H5933(70) H2128(60) H8331(56)
N315: H9984(100) H3232(88) H9461(60) H5519(50) H5465(28) H10374(28)
N316: H2113(106) H1194(77) H2005(77) H9587(74) H5246(68) H9167(61)
N317: H6126(56) H8683(52) H4518(40) H9311(39) H3352(36) H10858(30)
N318: H7178(130) H2379(126) H1883(115) H11975(81) H3137(81) H4305(71)
N319: H2683(23) H2809(22) H9445(18) H6409(14) H9708(13) H7035(12)
N320: H11395(110) H739(81) H537(62) H751(60) H1259(55) H483(32)
N321: H2253(144) H10835(131) H3312(112) H4475(95) H8961(91) H8176(65)
N322: H10332(109) H11043(94) H2137(91) H3138(88) H1545(87) H5754(84)
N323: H11260(75) H5011(64) H6445(36) H7073(22) H11352(22) H6416(10)
N324: H1456(65) H4446(42) H3769(41) H6766(26) H3476(14) H282(12)
N325: H9128(27) H4184(18) H4399(15) H2545(14) H2631(12) H1288(10)
N326: H10405(45) H2190(43) H2869(36) H7679(26) H3108(25) H3609(24)
N327: H11223(160) H3755(142) H7262(142) H9159(140) H5942(128) H5524(120)
N328: H10513(130) H372(116) H990(110) H10417(91) H6942(89) H6800(86)
N329: H3539(107) H231(105) H2236(97) H7786(91) H7624(89) H9501(84)
N330: H5389(84) H7770(78) H5330(69) H6090(66) H265(57) H3931(51)
N331: H543(148) H4847(131) H7502(112) H7010(81) H1982(67) H4565(45)
N332: H4066(74) H4878(58) H11149(57) H6702(46) H1102(33) H8139(13)
N333: H1051(153) H10540(103) H11346(71) H3690(50) H4512(49) H363(49)
N334: H3630(170) H3971(159) H3789(139) H1045(121) H5769(105) H11640(80)
N335: H730(85) H5530(82) H6705(65) H830(62) H5123(59) H5358(56)
N336: H5650(81) H6557(81) H1460(80) H8326(70) H9016(49) H8645(47)
N337: H9223(58) H1757(45) H7931(44) H4701(31) H7453(21) H5257(18)
N338: H8581(90) H7495(82) H5725(64) H8791(60) H11373(54) H8155(51)
N339: H7390(126) H4880(124) H4889(120) H2091(114) H1812(112) H7131(102)
N340: H8571(154) H3525(56) H11124(48) H6266(40) H8218(36) H9781(36)
N341: H41(100) H2283(62) H5316(39) H3850(35) H11672(31) H9857(30)
N342: H1316(88) H2000(69) H717(64) H1675(53) H3240(35) H7477(31)
N343: H3246(98) H10382(81) H2695(78) H5399(69) H3299(56) H1614(51)
N344: H3174(153) H7889(142) H1004(107) H11090(94) H560(85) H5125(81)
N345: H11858(156) H4666(122) H7322(118) H8587(110) H1662(106) H4284(104)
N346: H11356(196) H9358(148) H398(136) H846(130) H11300(126) H6970(112)
N347: H3909(144) H2586(141) H2567(140) H7076(124) H2043(69) H11636(58)
N348: H3846(112) H8980(95) H827(92) H5365(80) H8178(72) H2191(70)
N349: H7549(123) H2200(95) H8328(51) H4235(49) H2960(37) H9883(37)
N350: H8886(131) H6831(93) H9230(71) H5228(55) H6031(53) H2272(39)
N351: H7718(159) H5760(126) H11781(99) H6953(78) H10240(75) H10516(75)
N352: H6822(137) H11254(85) H3897(84) H2290(78) H10930(52) H4164(42)
